IDName,Sample_related,NewPop,OrderPop,Full.Population.Name,Year.Collected,Clone.ID.2018,Tide,TideCode,Collector,Longitude,Latitude,X,Y,aagx030,aag004,m49,aagx012,aag002,atg002,aagx051,aagx071,m13,m16,aagx030.1,aagx030.2,aag004.1,aag004.2,m49.1,m49.2,aagx012.1,aagx012.2,aag002.1,aag002.2,atg002.1,atg002.2,aagx051.1,aagx051.2,aagx071.1,aagx071.2,m13.1,m13.2,m16.1,m16.2
AL_27,AL_AL27,AL,33,Aquia Landing,2007,593,Tidal,AB,Lloyd & Burnett,-77.31869,38.38921,297493.0702,4251545.506,162:162,376:376,168:180,202:202,322:328,151:154,181:181,233:233,271:271,187:187,162,162,376,376,168,168,202,202,322,328,151,154,181,181,233,233,271,271,187,187
AL_28,AL_AL28,AL,33,Aquia Landing,2007,594,Tidal,AB,Lloyd & Burnett,-77.31862,38.38923,297499.2404,4251547.571,159:159,391:391,168:180,202:202,325:328,160:160,175:181,230:230,274:274,187:187,159,159,391,391,168,168,202,202,325,328,160,160,175,181,230,230,274,274,187,187
AL_29,AL_AL29,AL,33,Aquia Landing,2007,595,Tidal,AB,Lloyd & Burnett,-77.31856,38.38928,297504.6208,4251552.989,159:159,376:376,168:180,202:202,322:328,151:169,175:175,230:230,271:271,187:187,159,159,376,376,168,174,202,202,322,328,151,169,175,175,230,230,271,271,187,187
AL_30,AL_AL30,AL,33,Aquia Landing,2007,596,Tidal,AB,Lloyd & Burnett,-77.31848,38.38932,297511.7202,4251557.252,159:159,,168:180,202:202,,154:163,,233:233,277:277,187:187,159,159,,,168,168,202,202,,,154,163,,,233,233,277,277,187,187
NC_03,NC_NC03,NC,34,Nanjemoy Creek,2013,597,Tidal,AB,Neel & Hohmann,-77.14969,38.45432,312423.2057,4258413.646,159:159,376:391,177:177,202:202,325:328,154:157,178:181,230:230,263:263,187:187,159,159,376,391,177,177,202,202,325,328,154,157,178,181,230,230,263,263,187,187
NC_04,NC_NC04,NC,34,Nanjemoy Creek,2013,598,Tidal,AB,Neel & Hohmann,-77.14941,38.45438,312447.7959,4258419.735,159:159,376:391,171:177,202:211,325:328,147:154,181:181,227:236,274:277,187:187,159,159,376,391,171,177,202,211,325,328,147,154,181,181,227,236,274,277,187,187
NC_06,NC_NC06,NC,34,Nanjemoy Creek,2013,599,Tidal,AB,Neel & Hohmann,-77.14852,38.45458,312525.9813,4258440.118,159:162,376:376,177:177,202:205,325:328,154:154,181:184,233:233,274:277,187:187,159,162,376,376,177,177,202,205,325,328,154,154,181,184,233,233,274,277,187,187
NC_08,NC_NC08,NC,34,Nanjemoy Creek,2013,600,Tidal,AB,Neel & Hohmann,-77.14714,38.4552,312648.0135,4258506.116,159:159,376:376,168:171,202:202,325:325,151:157,172:190,224:230,263:274,187:187,159,159,376,376,168,171,202,202,325,325,151,157,172,190,224,230,263,274,187,187
NC_09,NC_NC09,NC,34,Nanjemoy Creek,2013,601,Tidal,AB,Neel & Hohmann,-77.14762,38.45995,312618.4206,4259034.241,159:159,376:376,177:177,202:202,325:328,151:154,175:184,227:236,274:277,187:187,159,159,376,376,177,177,202,202,325,328,151,154,175,184,227,236,274,277,187,187
NC_13,NC_NC13,NC,34,Nanjemoy Creek,2013,602,Tidal,AB,Neel & Hohmann,-77.14824,38.46001,312564.4747,4259042.161,159:159,376:376,171:177,202:202,325:328,151:154,175:181,230:239,277:277,187:187,159,159,376,376,171,177,202,202,325,328,151,154,175,181,230,239,277,277,187,187
NC_14,NC_NC14,NC,34,Nanjemoy Creek,2013,603,Tidal,AB,Neel & Hohmann,-77.14868,38.46008,312526.2615,4259050.826,159:159,376:391,168:168,202:202,322:328,151:154,175:184,227:239,263:280,187:187,159,159,376,391,168,168,202,202,322,328,151,154,175,184,227,239,263,280,187,187
NC_17,NC_NC17,NC,34,Nanjemoy Creek,2013,604,Tidal,AB,Neel & Hohmann,-77.14845,38.46067,312547.8591,4259115.835,159:159,376:376,168:177,202:202,322:328,154:154,175:178,227:227,263:280,187:187,159,159,376,376,168,177,202,202,322,328,154,154,175,178,227,227,263,280,187,187
NC_20,NC_NC20,NC,34,Nanjemoy Creek,2013,605,Tidal,AB,Neel & Hohmann,-77.14835,38.46121,312557.9834,4259175.56,159:159,376:376,177:177,202:202,325:328,151:154,175:175,227:230,277:277,187:187,159,159,376,376,177,177,202,202,325,328,151,154,175,175,227,230,277,277,187,187
NC_21,NC_NC21,NC,34,Nanjemoy Creek,2013,606,Tidal,AB,Neel & Hohmann,-77.1488,38.46163,312519.8048,4259223.087,159:159,376:376,171:177,202:202,325:328,151:151,175:184,227:230,263:277,187:187,159,159,376,376,171,177,202,202,325,328,151,151,175,184,227,230,263,277,187,187
NC_22,NC_NC22,NC,34,Nanjemoy Creek,2013,607,Tidal,AB,Neel & Hohmann,-77.12882,38.47179,314289.2921,4260310.129,159:159,376:376,177:177,202:202,325:325,154:154,178:178,230:236,274:277,187:187,159,159,376,376,177,177,202,202,325,325,154,154,178,178,230,236,274,277,187,187
NC_24,NC_NC24,NC,34,Nanjemoy Creek,2013,608,Tidal,AB,Neel & Hohmann,-77.12941,38.4732,314241.437,4260467.8,159:159,376:391,177:177,202:205,325:325,154:154,172:184,233:233,274:274,187:187,159,159,376,391,177,177,202,205,325,325,154,154,172,184,233,233,274,274,187,187
NC_26,NC_NC26,NC,34,Nanjemoy Creek,2013,609,Tidal,AB,Neel & Hohmann,-77.12967,38.47384,314220.3969,4260539.351,159:159,376:376,177:177,202:202,328:328,151:154,175:181,233:236,274:277,187:187,159,159,376,376,177,177,202,202,328,328,151,154,175,181,233,236,274,277,187,187
NC_27,NC_NC27,NC,34,Nanjemoy Creek,2013,610,Tidal,AB,Neel & Hohmann,-77.13002,38.47452,314191.608,4260615.523,159:159,376:376,168:177,202:202,325:328,154:157,175:184,233:236,263:274,187:187,159,159,376,376,168,177,202,202,325,328,154,157,175,184,233,236,263,274,187,187
NC_29,NC_NC29,NC,34,Nanjemoy Creek,2013,611,Tidal,AB,Neel & Hohmann,-77.13065,38.47525,314138.5206,4260697.809,159:159,376:376,168:177,202:202,325:328,154:154,178:184,236:242,274:283,187:187,159,159,376,376,168,177,202,202,325,328,154,154,178,184,236,242,274,283,187,187
NC_30,NC_NC30,NC,34,Nanjemoy Creek,2013,612,Tidal,AB,Neel & Hohmann,-77.13068,38.47529,314136.0061,4260702.309,159:159,376:391,168:177,202:202,325:328,154:157,178:178,230:236,274:277,187:187,159,159,376,391,168,177,202,202,325,328,154,157,181,181,230,236,274,277,187,187
NC_31,NC_NC31,NC,34,Nanjemoy Creek,2013,613,Tidal,AB,Neel & Hohmann,-77.13053,38.47553,314149.7089,4260728.641,159:159,376:376,177:177,202:202,325:325,154:157,175:178,236:239,263:274,187:187,159,159,376,376,177,177,202,202,325,325,154,157,175,178,236,239,263,274,187,187
NC_34,NC_NC34,NC,34,Nanjemoy Creek,2013,613,Tidal,AB,Neel & Hohmann,-77.13028,38.47564,314171.8017,4260740.344,159:159,376:376,177:177,202:202,325:325,154:157,175:178,236:239,263:274,187:187,159,159,376,376,177,177,202,202,325,325,154,157,175,178,236,239,263,274,187,187
NC_36,NC_NC36,NC,34,Nanjemoy Creek,2013,614,Tidal,AB,Neel & Hohmann,-77.12949,38.47589,314241.3639,4260766.494,159:159,376:376,177:177,202:202,325:328,154:154,178:190,230:230,274:274,187:187,159,159,376,376,177,177,202,202,325,328,154,154,178,190,230,230,274,274,187,187
NC_38,NC_NC38,NC,34,Nanjemoy Creek,2013,615,Tidal,AB,Neel & Hohmann,-77.13188,38.46314,314000.0907,4259356.344,159:159,376:376,168:177,202:202,325:325,154:154,175:190,227:236,274:277,187:187,159,159,376,376,168,177,202,202,325,325,154,154,175,190,227,236,274,277,187,187
NC_42,NC_NC42,NC,34,Nanjemoy Creek,2013,617,Tidal,AB,Neel & Hohmann,-77.1513,38.45392,312281.6688,4258372.536,159:159,376:391,168:171,202:205,325:325,151:154,181:184,233:233,274:274,187:187,159,159,376,391,168,171,202,205,325,325,151,154,181,184,233,233,274,274,187,187
PTR_B_01,PT_PTR01,PTR_B,36,Port Tobacco River B,2013,618,Tidal,AB,Neel & Templeton,-77.02565,38.48135,323313.7019,4261167.96,156:159,376:391,168:168,202:202,325:325,154:157,184:184,230:230,277:277,187:187,156,159,376,391,168,168,202,202,325,325,154,157,184,184,230,230,277,277,187,187
PTR_B_04,PT_PTR04,PTR_B,36,Port Tobacco River B,2013,619,Tidal,AB,Neel & Templeton,-77.02567,38.48161,323312.5923,4261196.852,153:159,376:376,167:168,202:202,325:325,151:163,172:172,230:242,269:269,187:187,153,159,376,376,168,168,202,202,325,325,151,163,172,172,230,242,269,269,187,187
PTR_B_05,PT_PTR05,PTR_B,36,Port Tobacco River B,2013,620,Tidal,AB,Neel & Templeton,-77.02528,38.4824,323348.5421,4261283.775,153:159,376:376,167:168,202:202,325:325,154:154,169:172,230:239,263:263,187:187,153,159,376,376,168,168,202,202,325,325,154,154,169,172,230,239,263,263,187,187
PTR_B_10,PT_PTR10,PTR_B,36,Port Tobacco River B,2013,621,Tidal,AB,Neel & Templeton,-77.02485,38.48313,323387.834,4261363.963,153:159,376:391,168:180,202:202,325:325,154:154,172:172,230:230,271:271,187:187,153,159,376,391,168,180,202,202,325,325,154,154,169,172,230,230,271,271,187,187
PTR_B_12,PT_PTR12,PTR_B,36,Port Tobacco River B,2013,622,Tidal,AB,Neel & Templeton,-77.02372,38.48401,323488.552,4261459.455,159:159,376:391,168:177,202:202,325:325,154:154,175:184,227:230,277:280,187:187,159,159,376,391,168,177,202,202,325,325,154,154,175,184,227,230,277,280,187,187
PTR_B_17,PT_PTR17,PTR_B,36,Port Tobacco River B,2013,623,Tidal,AB,Neel & Templeton,-77.02281,38.48522,323570.8824,4261591.992,159:159,376:391,167:168,202:202,325:325,154:154,169:184,227:233,263:263,187:187,159,159,376,391,168,168,202,202,325,325,154,154,169,184,227,233,263,263,187,187
PTR_A_18,PT_PTR18,PTR_A,35,Port Tobacco River A,2013,624,Tidal,AB,Neel & Templeton,-77.02235,38.49595,323637.1776,4262781.895,156:159,376:376,167:168,202:202,325:328,147:151,184:184,230:236,266:269,187:187,156,159,376,376,168,168,202,202,325,328,147,151,184,184,230,236,266,269,187,187
PTR_A_21,PT_PTR21,PTR_A,35,Port Tobacco River A,2013,625,Tidal,AB,Neel & Templeton,-77.02223,38.49642,323648.7898,4262833.824,159:159,376:376,168:180,202:202,325:328,154:154,169:175,230:230,263:274,187:187,159,159,376,376,168,180,202,202,325,328,154,154,169,175,230,230,263,274,187,187
PTR_A_25,PT_PTR25,PTR_A,35,Port Tobacco River A,2013,626,Tidal,AB,Neel & Templeton,-77.02162,38.49682,323702.966,4262877.046,159:159,376:376,168:180,202:202,325:328,154:157,175:184,230:236,274:274,187:187,159,159,376,376,168,180,202,202,325,328,154,157,175,184,230,236,274,274,187,187
PTR_A_26,PT_PTR26,PTR_A,35,Port Tobacco River A,2013,627,Tidal,AB,Neel & Templeton,-77.02175,38.49746,323693.1889,4262948.32,159:159,376:376,168:180,202:202,325:325,154:154,172:172,230:230,274:274,187:187,159,159,376,376,168,180,202,202,325,325,154,154,172,172,230,230,274,274,187,187
PTR_A_29,PT_PTR29,PTR_A,35,Port Tobacco River A,2013,628,Tidal,AB,Neel & Templeton,-77.02338,38.49897,323554.7166,4263119.021,159:159,376:376,168:168,202:202,325:325,147:154,172:196,227:230,274:277,187:187,159,159,376,376,168,168,202,202,325,325,147,154,172,196,227,230,274,277,187,187
PTR_A_30,PT_PTR30,PTR_A,35,Port Tobacco River A,2013,629,Tidal,AB,Neel & Templeton,-77.02417,38.49953,323487.1869,4263182.684,153:159,376:376,168:168,202:202,325:328,154:157,175:184,230:230,274:274,187:187,153,159,376,376,168,168,202,202,325,328,154,157,175,184,230,230,274,274,187,187
PTR_A_32,PT_PTR32,PTR_A,35,Port Tobacco River A,2013,630,Tidal,AB,Neel & Templeton,-77.02513,38.49705,323397.4064,4262909.302,159:159,376:376,168:168,202:202,325:325,154:157,175:181,230:230,263:263,187:187,159,159,376,376,168,168,202,202,325,325,154,157,175,181,230,230,263,263,187,187
PTR_A_34,PT_PTR34,PTR_A,35,Port Tobacco River A,2013,631,Tidal,AB,Neel & Templeton,-77.02553,38.49439,323356.0223,4262614.871,159:159,376:376,167:168,202:202,325:328,154:154,172:175,227:230,274:274,187:187,159,159,376,376,168,168,202,202,325,328,154,154,172,175,227,230,274,274,187,187
PTR_A_37,PT_PTR37,PTR_A,35,Port Tobacco River A,2013,632,Tidal,AB,Neel & Templeton,-77.02557,38.49388,323351.2876,4262558.349,153:159,376:391,168:180,202:202,325:325,154:154,169:184,230:230,,187:187,153,159,376,391,168,180,202,202,325,325,154,154,169,184,230,230,,,187,187
PTR_A_41,PT_PTR41,PTR_A,35,Port Tobacco River A,2013,633,Tidal,AB,Neel & Templeton,-77.02645,38.49234,323270.7722,4262389.134,159:159,376:391,168:168,202:202,325:325,154:154,169:196,230:236,277:277,187:187,159,159,376,391,168,168,202,202,325,325,154,154,169,196,230,236,277,277,187,187
PTR_B_42,PT_PTR42,PTR_B,36,Port Tobacco River B,2013,634,Tidal,AB,Neel & Templeton,-77.02906,38.48712,323030.3557,4261814.85,159:159,376:391,168:168,202:202,325:325,147:157,169:181,230:230,274:274,187:187,159,159,376,376,168,168,202,202,325,325,147,157,169,181,230,230,274,274,187,187
PTR_B_43,PT_PTR43,PTR_B,36,Port Tobacco River B,2013,635,Tidal,AB,Neel & Templeton,-77.02934,38.48652,323004.4641,4261748.802,153:153,376:376,168:168,202:202,325:325,151:169,169:196,230:230,277:277,187:187,153,153,376,376,168,168,202,202,325,325,151,169,169,196,230,230,277,277,187,187
PTR_B_45,PT_PTR45,PTR_B,36,Port Tobacco River B,2013,636,Tidal,AB,Neel & Templeton,-77.03024,38.48583,322924.2709,4261673.96,153:153,376:376,168:180,202:202,325:325,157:169,181:190,230:230,263:277,187:187,153,153,376,376,168,180,202,202,325,325,157,169,181,190,230,230,263,277,187,187
PTR_B_09,PT_PTR09,PTR_B,36,Port Tobacco River B,2013,1840,Tidal,AB,Neel & Templeton,-77.02494,38.48293,323379.4949,4261341.941,153:153,376:376,168:168,202:202,325:325,154:154,172:175,230:230,274:274,187:187,153,153,376,376,168,168,202,202,325,325,154,154,172,175,230,230,274,274,187,187
PTR_A_28,PT_PTR28,PTR_A,35,Port Tobacco River A,2013,2099,Tidal,AB,Neel & Templeton,-77.02325,38.49886,323565.7856,4263106.564,156:159,376:376,167:168,202:202,325:325,154:157,175:184,230:233,271:271,187:187,156,159,376,376,167,168,202,202,325,325,154,157,175,184,230,233,271,271,187,187
BB_A_080,BB_BB80,BB_A,29,Belmont Bay,2013,2103,Tidal,AB,Neel & Hohmann,-77.22183304,38.65396799,306663.2491,4280720.292,156:159,376:391,177:180,202:202,322:325,151:154,184:193,230:230,266:274,187:187,156,159,376,391,177,180,202,202,322,325,151,154,184,193,230,230,266,274,187,187
BB_A_059,BB_BB59,BB_A,29,Belmont Bay,2013,2119,Tidal,AB,Neel & Hohmann,-77.22453402,38.65994101,306444.2776,4281388.896,153:159,376:376,177:177,202:202,322:325,154:163,187:187,233:233,266:271,187:187,153,159,376,376,177,177,202,202,322,325,154,163,187,187,233,233,266,271,187,187
PTR_B_13,PT_PTR13,PTR_B,36,Port Tobacco River B,2013,2123,Tidal,AB,Neel & Templeton,-77.02354,38.48422,323504.7658,4261482.415,153:159,376:376,167:168,202:202,325:325,147:154,172:172,230:239,263:263,187:187,153,159,376,376,167,168,202,202,325,325,147,154,172,172,230,239,263,263,187,187
PTR_B_03,PT_PTR03,PTR_B,36,Port Tobacco River B,2013,2124,Tidal,AB,Neel & Templeton,-77.02577,38.48138,323303.3072,4261171.52,153:159,376:376,167:168,202:202,325:325,147:154,169:184,227:230,263:263,187:187,153,159,376,376,167,168,202,202,325,325,147,154,169,184,227,230,263,263,187,187
PTR_B_15,PT_PTR15,PTR_B,36,Port Tobacco River B,2013,2125,Tidal,AB,Neel & Templeton,-77.0233,38.48467,323526.7987,4261531.894,153:159,376:376,167:168,202:202,325:325,147:154,172:184,230:239,274:274,187:187,153,159,376,376,167,168,202,202,325,325,147,154,172,184,230,239,274,274,187,187
PTR_B_44,PT_PTR44,PTR_B,36,Port Tobacco River B,2013,2133,Tidal,AB,Neel & Templeton,-77.03003,38.48598,322942.9559,4261690.202,153:159,376:376,168:180,202:202,325:325,154:169,181:181,230:230,277:277,187:187,153,159,376,376,168,180,202,202,325,325,154,169,181,181,230,230,277,277,187,187
PTR_B_14,PT_PTR14,PTR_B,36,Port Tobacco River B,2013,2134,Tidal,AB,Neel & Templeton,-77.0234,38.4844,323517.4171,4261502.122,153:159,376:376,168:180,202:202,325:325,154:154,172:175,230:236,263:274,187:187,153,159,376,376,168,180,202,202,325,325,154,154,172,175,230,236,263,274,187,187
PTR_B_06,PT_PTR06,PTR_B,36,Port Tobacco River B,2013,2140,Tidal,AB,Neel & Templeton,-77.02519,38.48248,323356.5883,4261292.481,153:159,376:376,168:168,202:202,325:328,154:154,172:175,230:236,263:263,187:187,153,159,376,376,168,168,202,202,325,328,154,154,172,175,230,236,263,263,187,187
PTR_A_35,PT_PTR35,PTR_A,35,Port Tobacco River A,2013,2143,Tidal,AB,Neel & Templeton,-77.02543,38.49431,323364.5485,4262605.801,153:159,376:376,168:168,202:202,325:325,154:154,,227:227,263:263,187:187,153,159,376,376,168,168,202,202,325,325,154,154,,,227,227,263,263,187,187
PTR_B_07,PT_PTR07,PTR_B,36,Port Tobacco River B,2013,2144,Tidal,AB,Neel & Templeton,-77.02514,38.48266,323361.3894,4261312.361,153:159,376:376,168:168,202:202,325:325,147:157,175:184,230:230,263:263,187:187,153,159,376,376,168,168,202,202,325,325,147,157,175,184,230,230,263,263,187,187
