OrderPop,NewPop,Tide,Year,Longitude,Latitude,X,Y,Source,RiverKm
16,AC,NonTidal,2011,-77.74679444,39.41769722,263537.3065,4366731.14,This Paper,295
33,AL,Tidal,2007,-77.31992467,38.388793,297384.0602,4251501.939,Lloyd et al. 2011,114
29,BB_A,Tidal,2013,-77.22326629,38.6562651,306544.7007,4280978.256,This Paper,142
30,BB_B,Tidal,2013,-77.22247604,38.64698653,306588.5102,4279946.826,This Paper,142
17,BWK1,NonTidal,2007,-77.61364344,39.30593722,274642.2909,4353984.922,Lloyd et al. 2011,270
18,BWK2,NonTidal,2011,-77.61662024,39.30664275,274387.8521,4354070.663,This Paper,270
23,EF,NonTidal,2011,-77.47499778,39.10469667,285988.0545,4331311.478,This Paper,233
3,FMC1,NonTidal,2011,-78.38332667,39.62224056,209583.3117,4391302.696,This Paper,417
4,FMC2,NonTidal,2007,-78.382664,39.62888933,209668.0319,4392038.694,Lloyd et al. 2011,417
28,GM,Tidal,2007,-77.14513933,38.635389,313289.3608,4278499.416,Lloyd et al. 2011,146
25,GWP,Tidal,2007,-77.041589,38.72935567,322535.4866,4288722.18,Lloyd et al. 2011,163
7,HCK1,NonTidal,2011,-78.18033833,39.69698444,227305.083,4398963.143,This Paper,391
8,HCK2,NonTidal,2007,-78.17441564,39.69694144,227812.8456,4398940.359,Lloyd et al. 2011,391
9,LC,NonTidal,2011,-78.05069,39.64795722,238251.238,4393133.65,This Paper,378
31,LSP,Tidal,2007,-77.25914833,38.58415167,303225.0376,4273051.222,Lloyd et al. 2011,138
10,MF,NonTidal,2011,-77.96774056,39.60830389,245211.5134,4388493.183,This Paper,367
32,MWC,Tidal,2013,-77.1806,38.5706,310031.7503,4271381.824,This Paper,135
34,NC,Tidal,2013,-77.139811,38.462042,313305.23,4259250.54,This Paper,95
13,OJ,NonTidal,2011,-77.85853111,39.51564111,254261.8023,4377902.63,This Paper,330
27,PB,Tidal,2013,-77.16654,38.67572,311532.2452,4283019.221,This Paper,150
24,PL,NonTidal,2007,-77.28808345,39.05224,302005.6502,4325065.237,Lloyd et al. 2011,216
19,POR1,NonTidal,2007,-77.53709319,39.27141684,281136.0902,4349965.128,Lloyd et al. 2011,262
20,POR2,NonTidal,2011,-77.53278167,39.27068667,281505.8054,4349873.656,This Paper,262
2,PR,NonTidal,2011,-78.46394797,39.53418721,202284.3878,4381791.044,This Paper,454
35,PTR_A,Tidal,2013,-77.02393,38.49631,323500.2565,4262824.877,This Paper,89
36,PTR_B,Tidal,2013,-77.02646,38.48449,323250.716,4261517.983,This Paper,89
5,SHC,NonTidal,2007,-78.32217214,39.633805,214881.3204,4392390.4,Lloyd et al. 2011,409
6,SJR,NonTidal,2011,-78.24166264,39.65027471,221858.3556,4393966.022,This Paper,399
15,SL,NonTidal,2011,-77.77902235,39.46543851,260925.9128,4372115.689,This Paper,307
26,SWP,Tidal,2007,-77.102672,38.68421267,317110.3226,4283832.326,Lloyd et al. 2011,156
1,TC,NonTidal,2011,-78.53873736,39.52309828,195806.4691,4380810.345,This Paper,462
14,TL,NonTidal,2011,-77.7684262,39.49915567,261952.6958,4375830.398,This Paper,313
22,WF1,NonTidal,2007,-77.5199668,39.1535692,282249.7525,4336843.103,Lloyd et al. 2011,241
21,WF2,NonTidal,2011,-77.51992702,39.15437798,282255.6849,4336932.779,This Paper,241
11,WSP1,NonTidal,2007,-77.83129757,39.60395552,256912.1348,4387632.162,Lloyd et al. 2011,345
12,WSP2,NonTidal,2011,-77.83016937,39.60272696,257004.7161,4387492.728,This Paper,344
