list_name,FST,Gprime_st,D_het
noreps.potomac,0.10625477025959167,0.15546726870096303,0.07720140706689142
noreps.potomac.NonTidal,0.03439867433073636,0.04368242363195675,0.0199312655929425
noreps.potomac.Tidal,0.08676221058078315,0.1565232523005258,0.08049857666497852
noreps.potomac.bytide,0.09077260034415789,0.17808180951194422,0.09520453089650092
