source,Metric,observed,lower.normal,upper.normal,std.dev,mean,lower.percentile,upper.precentile
noreps.potomac,Dest,0.07720140706689142,0.065675103013743,0.08872771112003984,0.005880767374055315,0.054913896210534,0.04445435989915466,0.06775485889604442
noreps.potomac,GST,0.15546726870096303,0.13414181087524857,0.1767927265266775,0.010880335625364524,0.1047019565956509,0.08454074571142123,0.12784951225045932
noreps.potomac.NonTidal,Dest,0.0199312655929425,0.003679071268507819,0.03618345991737718,0.008291935879813613,0.034157173538583024,0.0182752651316226,0.05006869337434236
noreps.potomac.NonTidal,GST,0.04368242363195675,0.008281625195085768,0.07908322206882773,0.01806163185554642,0.0752529485020235,0.040898251718806386,0.11077921446978406
noreps.potomac.Tidal,Dest,0.08049857666497852,0.0703045412012576,0.09069261212869943,0.005201038501898427,0.046990380077556876,0.037464085094536526,0.057542118350665826
noreps.potomac.Tidal,GST,0.1565232523005258,0.13762997114135825,0.17541653345969335,0.009639429162840593,0.08965107037739523,0.07225928939220107,0.10942197781971272
noreps.potomac.bytide,Dest,0.09520453089650092,0.08513622228360927,0.10527283950939258,0.005136892149434514,0.0955669600599563,0.0859413988641698,0.10562943675855714
noreps.potomac.bytide,GST,0.17808180951194422,0.16060403628351058,0.19555958274037785,0.008917231238996756,0.17881123147855557,0.16158884281530195,0.1954963733719624
